aircraft_wtc,landing_stabilisation_speed_type_lead,landing_stabilisation_speed_type_follower,apply_gusting_lead,apply_gusting_follower,minimum_safe_landing_speed_lead,minimum_safe_landing_speed_follower,local_stabilisation_threshold_lead,local_stabilisation_threshold_foll,initial_procedural_speed_foll,end_initial_decel_foll,steady_procedural_speed_lead,steady_procedural_speed_foll,final_deceleration_lead,final_deceleration_follower,initial_deceleration_foll
J,0,0,1,1,132.5,137.5,4,4,180,12,160,162,14.5,14.5,7.7
H,0,0,1,1,134.3,139.3,4,4,180,12,160,162,14.2,14.2,9.9
U,0,0,1,1,131,136,4,4,180,12,160,162,17.1,17.1,10.9
M,0,0,1,1,126.3,131.3,4,4,180,12,160,162,17.4,17.4,9.8
S,0,0,1,1,127,132,4,4,180,12,160,162,18.1,18.1,12.4
L,0,0,1,1,114.6,119.6,4,4,180,12,160,162,18.1,18.1,12.4
